second,Volt
-510.3000E-06,-91.2817595E-03
-509.6000E-06,-84.4700924E-03
-508.9000E-06,-81.5123355E-03
-508.2000E-06,-79.7781838E-03
-507.5000E-06,-75.4936004E-03
-506.8000E-06,-68.7694831E-03
-506.1000E-06,-63.2829819E-03
-505.4000E-06,-60.8398249E-03
-504.7000E-06,-58.3457464E-03
-504.0000E-06,-52.8021771E-03
-503.3000E-06,-46.3072892E-03
-502.6000E-06,-42.3661114E-03
-501.9000E-06,-39.9227336E-03
-501.2000E-06,-35.7100894E-03
-500.5000E-06,-29.4195307E-03
-499.8000E-06,-23.8011767E-03
-499.1000E-06,-20.9275231E-03
-498.4000E-06,-18.3176892E-03
-497.7000E-06,-13.1726564E-03
-497.0000E-06,-6.5861768E-03
-496.3000E-06,-2.2843927E-03
-495.6000E-06,-321.6867E-06
-494.9000E-06,+2.0562519E-03
-494.2000E-06,+8.0275853E-03
-493.5000E-06,+13.9062738E-03
-492.8000E-06,+18.4724774E-03
-492.1000E-06,+20.5956425E-03
-491.4000E-06,+24.2993996E-03
-490.7000E-06,+31.0955971E-03
-490.0000E-06,+36.7859257E-03
-489.3000E-06,+39.2479956E-03
-488.6000E-06,+42.4083248E-03
-487.9000E-06,+47.7480139E-03
-487.2000E-06,+54.0541585E-03
-486.5000E-06,+58.4253311E-03
-485.8000E-06,+60.5233224E-03
-485.1000E-06,+63.8213604E-03
-484.4000E-06,+70.0909047E-03
-483.7000E-06,+76.2774953E-03
-483.0000E-06,+79.2481519E-03
-482.3000E-06,+81.6509423E-03
-481.6000E-06,+85.8387144E-03
-480.9000E-06,+93.3667837E-03
-480.2000E-06,+98.1553443E-03
-479.5000E-06,+100.4324071E-03
-478.8000E-06,+103.8248297E-03
-478.1000E-06,+110.9983027E-03
-477.4000E-06,+116.8991212E-03
-476.7000E-06,+119.6722608E-03
-476.0000E-06,+121.2237179E-03
-475.3000E-06,+125.5177900E-03
-474.6000E-06,+133.1339475E-03
-473.9000E-06,+137.9264026E-03
-473.2000E-06,+140.4511102E-03
-472.5000E-06,+143.8058578E-03
-471.8000E-06,+150.0501615E-03
-471.1000E-06,+156.1520221E-03
-470.4000E-06,+159.4397024E-03
-469.7000E-06,+161.4122256E-03
-469.0000E-06,+164.8020114E-03
-468.3000E-06,+172.1351821E-03
-467.6000E-06,+177.5429913E-03
-466.9000E-06,+180.1147420E-03
-466.2000E-06,+182.2286531E-03
-465.5000E-06,+187.6344587E-03
-464.8000E-06,+194.1549995E-03
-464.1000E-06,+198.6609265E-03
-463.4000E-06,+201.0667617E-03
-462.7000E-06,+204.2890147E-03
-462.0000E-06,+210.8287354E-03
-461.3000E-06,+216.6733106E-03
-460.6000E-06,+220.0896191E-03
-459.9000E-06,+221.9651781E-03
-459.2000E-06,+226.3591924E-03
-458.5000E-06,+233.1596612E-03
-457.8000E-06,+238.1243292E-03
-457.1000E-06,+240.3725101E-03
-456.4000E-06,+242.8289384E-03
-455.7000E-06,+248.2123340E-03
-455.0000E-06,+254.0456505E-03
-454.3000E-06,+259.2452877E-03
-453.6000E-06,+261.1419300E-03
-452.9000E-06,+264.0349219E-03
-452.2000E-06,+269.4782829E-03
-451.5000E-06,+276.1397766E-03
-450.8000E-06,+280.1306848E-03
-450.1000E-06,+282.2257099E-03
-449.4000E-06,+286.6773157E-03
-448.7000E-06,+293.0720277E-03
-448.0000E-06,+298.1087812E-03
-447.3000E-06,+300.5798693E-03
-446.6000E-06,+302.9132950E-03
-445.9000E-06,+307.0320629E-03
-445.2000E-06,+313.5051169E-03
-444.5000E-06,+318.3349272E-03
-443.8000E-06,+320.6332671E-03
-443.1000E-06,+322.4862234E-03
-442.4000E-06,+326.7551023E-03
-441.7000E-06,+332.9384263E-03
-441.0000E-06,+338.6862171E-03
-440.3000E-06,+341.1920754E-03
-439.6000E-06,+344.0821926E-03
-438.9000E-06,+349.3684872E-03
-438.2000E-06,+355.8600191E-03
-437.5000E-06,+359.5717811E-03
-436.8000E-06,+361.4717235E-03
-436.1000E-06,+364.1135498E-03
-435.4000E-06,+369.0604076E-03
-434.7000E-06,+375.3548768E-03
-434.0000E-06,+379.4838481E-03
-433.3000E-06,+381.2677691E-03
-432.6000E-06,+383.3116800E-03
-431.9000E-06,+388.5203465E-03
-431.2000E-06,+394.6415809E-03
-430.5000E-06,+399.4594864E-03
-429.8000E-06,+402.1467298E-03
-429.1000E-06,+404.7038336E-03
-428.4000E-06,+410.6528367E-03
-427.7000E-06,+416.3718695E-03
-427.0000E-06,+420.0776463E-03
-426.3000E-06,+422.2443488E-03
-425.6000E-06,+425.1695022E-03
-424.9000E-06,+430.2793017E-03
-424.2000E-06,+436.5416741E-03
-423.5000E-06,+440.0837425E-03
-422.8000E-06,+442.2038487E-03
-422.1000E-06,+445.8093129E-03
-421.4000E-06,+451.4133096E-03
-420.7000E-06,+456.6766742E-03
-420.0000E-06,+460.4669150E-03
-419.3000E-06,+462.3133208E-03
-418.6000E-06,+464.7731524E-03
-417.9000E-06,+469.8770626E-03
-417.2000E-06,+475.9076809E-03
-416.5000E-06,+480.1591993E-03
-415.8000E-06,+481.8456252E-03
-415.1000E-06,+483.9561791E-03
-414.4000E-06,+488.8001511E-03
-413.7000E-06,+494.5102227E-03
-413.0000E-06,+499.0036302E-03
-412.3000E-06,+501.5253468E-03
-411.6000E-06,+503.5979415E-03
-410.9000E-06,+507.6882249E-03
-410.2000E-06,+513.4862394E-03
-409.5000E-06,+518.3662140E-03
-408.8000E-06,+521.3428505E-03
-408.1000E-06,+523.3219059E-03
-407.4000E-06,+526.5540353E-03
-406.7000E-06,+532.1608140E-03
-406.0000E-06,+537.4619107E-03
-405.3000E-06,+540.8219812E-03
-404.6000E-06,+542.4297452E-03
-403.9000E-06,+545.2595201E-03
-403.2000E-06,+550.2570786E-03
-402.5000E-06,+555.7879302E-03
-401.8000E-06,+559.7001270E-03
-401.1000E-06,+561.9462225E-03
-400.4000E-06,+563.8429973E-03
-399.7000E-06,+567.5378084E-03
-399.0000E-06,+573.0308321E-03
-398.3000E-06,+578.3566168E-03
-397.6000E-06,+581.2077367E-03
-396.9000E-06,+582.7657401E-03
-396.2000E-06,+585.1311915E-03
-395.5000E-06,+589.3141085E-03
-394.8000E-06,+593.9452317E-03
-394.1000E-06,+599.4211823E-03
-393.4000E-06,+601.8393089E-03
-392.7000E-06,+603.1550474E-03
-392.0000E-06,+605.8665637E-03
-391.3000E-06,+610.9913947E-03
-390.6000E-06,+616.7137576E-03
-389.9000E-06,+620.3541265E-03
-389.2000E-06,+622.2788668E-03
-388.5000E-06,+623.6575629E-03
-387.8000E-06,+626.7081434E-03
-387.1000E-06,+631.2122101E-03
-386.4000E-06,+636.8304144E-03
-385.7000E-06,+640.6615560E-03
-385.0000E-06,+642.3135671E-03
-384.3000E-06,+644.0191190E-03
-383.6000E-06,+646.6484117E-03
-382.9000E-06,+650.7652781E-03
-382.2000E-06,+656.2214311E-03
-381.5000E-06,+660.0430689E-03
-380.8000E-06,+661.9650303E-03
-380.1000E-06,+663.2679704E-03
-379.4000E-06,+665.9944039E-03
-378.7000E-06,+669.9302372E-03
-378.0000E-06,+675.2442335E-03
-377.3000E-06,+679.3866709E-03
-376.6000E-06,+681.5633327E-03
-375.9000E-06,+683.2083744E-03
-375.2000E-06,+685.2691365E-03
-374.5000E-06,+688.9065338E-03
-373.8000E-06,+693.5363185E-03
-373.1000E-06,+698.3694782E-03
-372.4000E-06,+701.4058443E-03
-371.7000E-06,+702.7624739E-03
-371.0000E-06,+704.2795120E-03
-370.3000E-06,+707.1505052E-03
-369.6000E-06,+711.5477259E-03
-368.9000E-06,+715.7881473E-03
-368.2000E-06,+719.8831571E-03
-367.5000E-06,+722.0089438E-03
-366.8000E-06,+723.4254021E-03
-366.1000E-06,+725.0306974E-03
-365.4000E-06,+728.5518235E-03
-364.7000E-06,+733.0204923E-03
-364.0000E-06,+737.3363767E-03
-363.3000E-06,+740.7999382E-03
-362.6000E-06,+743.1615092E-03
-361.9000E-06,+744.7256604E-03
-361.2000E-06,+748.4535963E-03
-360.5000E-06,+752.8200586E-03
-359.8000E-06,+756.6774088E-03
-359.1000E-06,+760.5987799E-03
-358.4000E-06,+762.6185767E-03
-357.7000E-06,+763.3121878E-03
-357.0000E-06,+764.9262665E-03
-356.3000E-06,+766.9342339E-03
-355.6000E-06,+770.1884943E-03
-354.9000E-06,+775.1599046E-03
-354.2000E-06,+778.9663581E-03
-353.5000E-06,+781.5256237E-03
-352.8000E-06,+783.1334189E-03
-352.1000E-06,+784.6595549E-03
-351.4000E-06,+787.0036763E-03
-350.7000E-06,+790.7619431E-03
-350.0000E-06,+794.0892754E-03
-349.3000E-06,+798.3847642E-03
-348.6000E-06,+801.4750513E-03
-347.9000E-06,+802.9700272E-03
-347.2000E-06,+803.9590154E-03
-346.5000E-06,+805.5042418E-03
-345.8000E-06,+807.6281133E-03
-345.1000E-06,+810.8623668E-03
-344.4000E-06,+814.3617010E-03
-343.7000E-06,+817.7540849E-03
-343.0000E-06,+820.6584764E-03
-342.3000E-06,+822.4703241E-03
-341.6000E-06,+823.5635442E-03
-340.9000E-06,+824.8355300E-03
-340.2000E-06,+826.8621379E-03
-339.5000E-06,+829.5312254E-03
-338.8000E-06,+833.1592535E-03
-338.1000E-06,+836.6169990E-03
-337.4000E-06,+839.9894286E-03
-336.7000E-06,+841.5877028E-03
-336.0000E-06,+843.1775898E-03
-335.3000E-06,+844.0972983E-03
-334.6000E-06,+845.4669924E-03
-333.9000E-06,+847.4990287E-03
-333.2000E-06,+850.6150430E-03
-332.5000E-06,+853.9985422E-03
-331.8000E-06,+857.7602350E-03
-331.1000E-06,+860.6557031E-03
-330.4000E-06,+862.2132306E-03
-329.7000E-06,+863.5538726E-03
-329.0000E-06,+864.5652676E-03
-328.3000E-06,+865.7903189E-03
-327.6000E-06,+868.0176976E-03
